LED Item #,M780L3,,,M780LP1,,,M810L3,,,M850L3,,,M850LP1,,,M880L3,,,M940L3,,,M970L4,,,M1050L2,,,M1050L4,,,M1100L1,,,M1300L3,,,M1300L4,,,M1450L4,,,M1550L3,,,M1650L4,
Min Output Power (mW),200,,,800,,,325,,,900,,,1400,,,300,,,800,,,600,,,50,,,160,,,168,,,25,,,122.8,,,81.8,,,31,,,13,
Scaling Constant,5.34E+00,,,2.24E+01,,,8.93E+00,,,2.61E+01,,,3.32E+01,,,5.47E+00,,,1.09E+01,,,9.04E+00,,,6.50E-01,,,3.52E+00,,,2.40E+00,,,2.75E-01,,,1.19E+00,,,6.80E-01,,,2.77E-01,,,7.94E-02,
Spectra,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm) ,Spectral Flux (mW/nm),,Wavelength (nm) ,Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm)
,506.55405,4.60E-03,,210.4760412,0.00E+00,,210.4760412,0.00E+00,,505.11856,0.00E+00,,210.4760412,0.00E+00,,509.10713,2.81E-04,,506.55405,4.39E-02,,210.47604,0.00E+00,,803.31,1.79E-03,,812.37,1.30E-04,,605.965,3.87E-03,,1006.24268,1.34E-02,,652.0,1.62E-02,,1052.00000,4.64E-04,,1002.29,0.00E+00,,1002.29,3.98E-03
,506.70805,8.17E-03,,210.6784701,0.00E+00,,210.6784701,0.00E+00,,505.27385,2.61E-04,,210.6784701,0.00E+00,,509.25978,2.65E-04,,506.70805,4.62E-02,,210.67847,0.00E+00,,803.37,1.90E-03,,812.61,3.63E-04,,606.078,6.80E-03,,1006.36670,1.35E-02,,653.0,1.56E-02,,1053.00000,4.14E-04,,1002.34,0.00E+00,,1002.33,4.01E-03
,506.86206,1.37E-02,,210.8809175,0.00E+00,,210.8809175,0.00E+00,,505.42915,0.00E+00,,210.8809175,0.00E+00,,509.41244,2.92E-04,,506.86206,4.34E-02,,210.88092,0.00E+00,,803.43,1.73E-03,,812.85,8.44E-05,,606.190,4.18E-03,,1006.49078,1.37E-02,,654.0,1.12E-02,,1054.00000,3.54E-04,,1002.39,0.00E+00,,1002.38,4.04E-03
,507.01608,1.22E-03,,211.0833836,0.00E+00,,211.0833836,0.00E+00,,505.58446,2.61E-04,,211.0833836,0.00E+00,,509.56511,2.40E-04,,507.01608,4.61E-02,,211.08338,0.00E+00,,803.50,1.48E-03,,813.09,4.70E-04,,606.303,5.07E-03,,1006.61487,1.39E-02,,655.0,1.52E-02,,1055.00000,5.40E-04,,1002.44,0.00E+00,,1002.43,4.04E-03
,507.17011,8.81E-03,,211.2858682,0.00E+00,,211.2858682,0.00E+00,,505.73977,1.74E-04,,211.2858682,0.00E+00,,509.71778,2.58E-04,,507.17011,4.48E-02,,211.28587,0.00E+00,,803.56,2.24E-03,,813.32,9.15E-05,,606.415,4.30E-03,,1006.73895,1.42E-02,,656.0,2.46E-02,,1056.00000,4.82E-04,,1002.49,0.00E+00,,1002.48,4.03E-03
,507.32415,1.08E-02,,211.4883714,0.00E+00,,211.4883714,0.00E+00,,505.89509,0.00E+00,,211.4883714,0.00E+00,,509.87047,2.81E-04,,507.32415,4.71E-02,,211.48837,0.00E+00,,803.63,2.23E-03,,813.56,4.12E-04,,606.528,4.10E-03,,1006.86310,1.44E-02,,657.0,7.75E-03,,1057.00000,3.71E-04,,1002.54,0.00E+00,,1002.53,4.00E-03
,507.47819,1.33E-02,,211.6908932,0.00E+00,,211.6908932,0.00E+00,,506.05042,0.00E+00,,211.6908932,0.00E+00,,510.02317,2.71E-04,,507.47819,4.43E-02,,211.69089,0.00E+00,,803.69,2.95E-03,,813.80,1.25E-04,,606.641,6.92E-03,,1006.98731,1.45E-02,,658.0,2.21E-02,,1058.00000,4.23E-04,,1002.59,0.00E+00,,1002.58,3.95E-03
,507.63225,1.35E-02,,211.8934336,0.00E+00,,211.8934336,0.00E+00,,506.20576,2.61E-04,,211.8934336,0.00E+00,,510.17588,2.76E-04,,507.63225,4.62E-02,,211.89343,0.00E+00,,803.76,1.85E-03,,814.04,4.33E-04,,606.753,3.56E-03,,1007.11151,1.45E-02,,659.0,1.91E-02,,1059.00000,4.79E-04,,1002.64,0.00E+00,,1002.63,3.90E-03
,507.78632,6.19E-03,,212.0959925,0.00E+00,,212.0959925,0.00E+00,,506.3611,1.74E-04,,212.0959925,0.00E+00,,510.32861,3.27E-04,,507.78632,4.53E-02,,212.09599,0.00E+00,,803.82,2.39E-03,,814.28,1.78E-04,,606.866,6.79E-03,,1007.23572,1.45E-02,,660.0,2.07E-02,,1060.00000,3.82E-04,,1002.69,0.00E+00,,1002.68,3.86E-03
,507.94039,6.94E-03,,212.29857,0.00E+00,,212.29857,0.00E+00,,506.51646,2.61E-04,,212.29857,0.00E+00,,510.48134,2.01E-04,,507.94039,4.69E-02,,212.29857,0.00E+00,,803.88,2.54E-03,,814.52,4.27E-04,,606.979,4.36E-03,,1007.35999,1.44E-02,,661.0,2.01E-02,,1061.00000,4.43E-04,,1002.73,0.00E+00,,1002.73,3.82E-03
,508.09447,9.29E-03,,212.501166,0.00E+00,,212.501166,0.00E+00,,506.67181,1.74E-04,,212.501166,0.00E+00,,510.63408,3.83E-04,,508.09447,4.43E-02,,212.50117,0.00E+00,,803.95,2.07E-03,,814.75,1.66E-04,,607.092,4.36E-03,,1007.48431,1.44E-02,,662.0,1.82E-02,,1062.00000,4.38E-04,,1002.78,0.00E+00,,1002.78,3.79E-03
,508.24857,1.24E-02,,212.7037806,0.00E+00,,212.7037806,0.00E+00,,506.82718,7.83E-04,,212.7037806,0.00E+00,,510.78683,1.84E-04,,508.24857,4.59E-02,,212.70378,0.00E+00,,804.01,2.62E-03,,814.99,4.24E-04,,607.204,3.45E-03,,1007.60864,1.44E-02,,663.0,1.89E-02,,1063.00000,4.67E-04,,1002.83,0.00E+00,,1002.83,3.78E-03
,508.40267,1.25E-02,,212.9064138,0.00E+00,,212.9064138,0.00E+00,,506.98255,0.00E+00,,212.9064138,0.00E+00,,510.9396,3.53E-04,,508.40267,4.47E-02,,212.90641,0.00E+00,,804.08,2.19E-03,,815.23,1.85E-04,,607.317,5.51E-03,,1007.73297,1.45E-02,,664.0,1.99E-02,,1064.00000,3.94E-04,,1002.88,0.00E+00,,1002.88,3.78E-03
,508.55678,6.83E-03,,213.1090655,0.00E+00,,213.1090655,0.00E+00,,507.13794,1.30E-03,,213.1090655,0.00E+00,,511.09237,2.17E-04,,508.55678,4.59E-02,,213.10907,0.00E+00,,804.14,2.26E-03,,815.47,4.26E-04,,607.430,5.84E-03,,1007.85736,1.47E-02,,665.0,1.91E-02,,1065.00000,3.07E-04,,1002.93,0.00E+00,,1002.93,3.79E-03
,508.7109,1.24E-02,,213.3117358,0.00E+00,,213.3117358,0.00E+00,,507.29332,0.00E+00,,213.3117358,0.00E+00,,511.24516,3.59E-04,,508.7109,4.28E-02,,213.31174,0.00E+00,,804.21,2.05E-03,,815.71,1.70E-04,,607.543,5.82E-03,,1007.98181,1.50E-02,,666.0,9.25E-03,,1066.00000,3.96E-04,,1002.98,0.00E+00,,1002.97,3.79E-03
,508.86503,5.07E-03,,213.5144246,0.00E+00,,213.5144246,0.00E+00,,507.44872,2.61E-04,,213.5144246,0.00E+00,,511.39795,2.23E-04,,508.86503,4.48E-02,,213.51442,0.00E+00,,804.27,1.58E-03,,815.94,4.76E-04,,607.656,5.28E-03,,1008.10626,1.53E-02,,667.0,1.19E-02,,1067.00000,4.73E-04,,1003.03,0.00E+00,,1003.02,3.80E-03
,509.01917,9.77E-03,,213.7171319,0.00E+00,,213.7171319,0.00E+00,,507.60412,1.74E-04,,213.7171319,0.00E+00,,511.55075,3.58E-04,,509.01917,4.35E-02,,213.71713,0.00E+00,,804.34,1.96E-03,,816.18,9.72E-05,,607.769,6.70E-03,,1008.23071,1.56E-02,,668.0,9.78E-03,,1068.00000,5.11E-04,,1003.08,0.00E+00,,1003.07,3.79E-03
,509.17332,1.24E-02,,213.9198578,0.00E+00,,213.9198578,0.00E+00,,507.75954,7.83E-04,,213.9198578,0.00E+00,,511.70357,2.28E-04,,509.17332,4.60E-02,,213.91986,0.00E+00,,804.40,2.32E-03,,816.42,4.00E-04,,607.883,4.12E-03,,1008.35523,1.58E-02,,669.0,1.76E-02,,1069.00000,3.69E-04,,1003.13,0.00E+00,,1003.12,3.79E-03
,509.32747,1.14E-02,,214.1226022,0.00E+00,,214.1226022,0.00E+00,,507.91496,0.00E+00,,214.1226022,0.00E+00,,511.8564,3.30E-04,,509.32747,4.32E-02,,214.1226,0.00E+00,,804.46,2.49E-03,,816.66,1.86E-04,,607.996,3.71E-03,,1008.47980,1.60E-02,,670.0,1.26E-02,,1070.00000,3.83E-04,,1003.18,0.00E+00,,1003.17,3.77E-03
,509.48164,1.22E-02,,214.3253651,0.00E+00,,214.3253651,0.00E+00,,508.07038,0.00E+00,,214.3253651,0.00E+00,,512.00923,2.53E-04,,509.48164,4.47E-02,,214.32537,0.00E+00,,804.53,2.32E-03,,816.90,4.75E-04,,608.109,4.23E-03,,1008.60437,1.60E-02,,671.0,2.70E-02,,1071.00000,4.14E-04,,1003.23,0.00E+00,,1003.22,3.75E-03
,509.63581,1.18E-02,,214.5281465,0.00E+00,,214.5281465,0.00E+00,,508.22582,1.74E-04,,214.5281465,0.00E+00,,512.16208,3.22E-04,,509.63581,4.18E-02,,214.52815,0.00E+00,,804.59,1.93E-03,,817.14,2.31E-04,,608.222,6.33E-03,,1008.72894,1.59E-02,,672.0,2.47E-02,,1072.00000,5.43E-04,,1003.28,0.00E+00,,1003.27,3.72E-03
,509.79,1.38E-02,,214.7309465,0.00E+00,,214.7309465,0.00E+00,,508.38126,2.61E-04,,214.7309465,0.00E+00,,512.31494,2.24E-04,,509.79,4.42E-02,,214.73095,0.00E+00,,804.66,1.57E-03,,817.37,4.94E-04,,608.336,6.36E-03,,1008.85364,1.58E-02,,673.0,1.34E-02,,1073.00000,3.75E-04,,1003.33,0.00E+00,,1003.32,3.70E-03
,509.94419,1.51E-02,,214.933765,0.00E+00,,214.933765,0.00E+00,,508.53671,0.00E+00,,214.933765,0.00E+00,,512.46781,3.41E-04,,509.94419,4.28E-02,,214.93376,0.00E+00,,804.72,1.63E-03,,817.61,1.37E-04,,608.449,4.99E-03,,1008.97827,1.54E-02,,674.0,1.62E-02,,1074.00000,4.08E-04,,1003.38,0.00E+00,,1003.37,3.68E-03
,510.09839,1.45E-02,,215.136602,0.00E+00,,215.136602,0.00E+00,,508.69216,0.00E+00,,215.136602,0.00E+00,,512.62069,3.18E-04,,510.09839,4.65E-02,,215.1366,0.00E+00,,804.79,2.09E-03,,817.85,4.72E-04,,608.562,5.95E-03,,1009.10297,1.51E-02,,675.0,1.92E-02,,1075.00000,3.28E-04,,1003.42,0.00E+00,,1003.42,3.67E-03
,510.2526,1.27E-02,,215.3394574,0.00E+00,,215.3394574,0.00E+00,,508.84763,1.74E-04,,215.3394574,0.00E+00,,512.77358,2.51E-04,,510.2526,4.47E-02,,215.33946,0.00E+00,,804.85,2.36E-03,,818.09,1.44E-04,,608.676,5.03E-03,,1009.22772,1.46E-02,,676.0,1.38E-02,,1076.00000,4.52E-04,,1003.47,0.00E+00,,1003.47,3.68E-03
,510.40682,1.26E-02,,215.5423314,0.00E+00,,215.5423314,0.00E+00,,509.0031,2.61E-04,,215.5423314,0.00E+00,,512.92648,4.30E-04,,510.40682,4.73E-02,,215.54233,0.00E+00,,804.91,2.50E-03,,818.33,4.74E-04,,608.789,5.18E-03,,1009.35248,1.43E-02,,677.0,1.15E-02,,1077.00000,4.81E-04,,1003.52,0.00E+00,,1003.52,3.70E-03
,510.56105,0.00E+00,,215.7452239,0.00E+00,,215.7452239,0.00E+00,,509.15858,1.74E-04,,215.7452239,0.00E+00,,513.07939,1.28E-04,,510.56105,4.48E-02,,215.74522,0.00E+00,,804.98,2.00E-03,,818.56,1.38E-04,,608.903,5.47E-03,,1009.47723,1.40E-02,,678.0,1.54E-02,,1078.00000,4.25E-04,,1003.57,0.00E+00,,1003.57,3.75E-03
,510.71529,7.21E-03,,215.9481349,0.00E+00,,215.9481349,0.00E+00,,509.31406,7.83E-04,,215.9481349,0.00E+00,,513.23231,4.66E-04,,510.71529,4.78E-02,,215.94813,0.00E+00,,805.04,2.49E-03,,818.80,4.66E-04,,609.016,4.31E-03,,1009.60205,1.38E-02,,679.0,2.54E-02,,1079.00000,4.39E-04,,1003.62,0.00E+00,,1003.62,3.82E-03
,510.86954,1.11E-02,,216.1510644,0.00E+00,,216.1510644,0.00E+00,,509.46956,0.00E+00,,216.1510644,0.00E+00,,513.38524,1.81E-04,,510.86954,4.54E-02,,216.15106,0.00E+00,,805.11,2.19E-03,,819.04,1.83E-04,,609.130,4.83E-03,,1009.72693,1.37E-02,,680.0,1.07E-02,,1080.00000,4.13E-04,,1003.67,0.00E+00,,1003.67,3.90E-03
,511.02379,1.01E-02,,216.3540123,0.00E+00,,216.3540123,0.00E+00,,509.62506,1.30E-03,,216.3540123,0.00E+00,,513.53819,3.85E-04,,511.02379,4.89E-02,,216.35401,0.00E+00,,805.17,2.03E-03,,819.28,4.23E-04,,609.243,4.93E-03,,1009.85181,1.38E-02,,681.0,1.79E-02,,1081.00000,3.63E-04,,1003.72,0.00E+00,,1003.71,4.01E-03
,511.17806,1.26E-02,,216.5569788,0.00E+00,,216.5569788,0.00E+00,,509.78057,1.74E-04,,216.5569788,0.00E+00,,513.69114,2.59E-04,,511.17806,4.59E-02,,216.55698,0.00E+00,,805.24,2.28E-03,,819.52,5.25E-04,,609.357,6.48E-03,,1009.97675,1.40E-02,,682.0,1.10E-02,,1082.00000,3.94E-04,,1003.77,0.00E+00,,1003.76,4.11E-03
,511.33233,9.50E-03,,216.7599637,0.00E+00,,216.7599637,0.00E+00,,509.93608,0.00E+00,,216.7599637,0.00E+00,,513.8441,3.42E-04,,511.33233,4.79E-02,,216.75996,0.00E+00,,805.30,1.95E-03,,819.76,1.58E-04,,609.471,7.37E-03,,1010.10169,1.42E-02,,683.0,1.72E-02,,1083.00000,3.93E-04,,1003.82,0.00E+00,,1003.81,4.21E-03
,511.48662,8.65E-03,,216.9629671,0.00E+00,,216.9629671,0.00E+00,,510.09161,6.96E-04,,216.9629671,0.00E+00,,513.99708,2.83E-04,,511.48662,4.40E-02,,216.96297,0.00E+00,,805.37,2.68E-03,,819.99,5.08E-04,,609.584,4.97E-03,,1010.22662,1.44E-02,,684.0,1.54E-02,,1084.00000,4.37E-04,,1003.87,0.00E+00,,1003.86,4.29E-03
,511.64091,3.57E-03,,217.1659889,0.00E+00,,217.1659889,0.00E+00,,510.24714,7.83E-04,,217.1659889,0.00E+00,,514.15006,3.16E-04,,511.64091,4.62E-02,,217.16599,0.00E+00,,805.43,2.40E-03,,820.23,2.56E-04,,609.698,6.41E-03,,1010.35162,1.46E-02,,685.0,2.94E-02,,1085.00000,4.29E-04,,1003.92,0.00E+00,,1003.91,4.34E-03
,511.79521,1.03E-02,,217.3690292,0.00E+00,,217.3690292,0.00E+00,,510.40268,0.00E+00,,217.3690292,0.00E+00,,514.30305,2.62E-04,,511.79521,4.44E-02,,217.36903,0.00E+00,,805.50,1.65E-03,,820.47,5.09E-04,,609.812,6.33E-03,,1010.47669,1.46E-02,,686.0,1.21E-02,,1086.00000,5.12E-04,,1003.97,0.00E+00,,1003.96,4.36E-03
,511.94952,0.00E+00,,217.572088,0.00E+00,,217.572088,0.00E+00,,510.55822,0.00E+00,,217.572088,0.00E+00,,514.45606,3.40E-04,,511.94952,4.62E-02,,217.57209,0.00E+00,,805.56,2.21E-03,,820.71,2.57E-04,,609.926,6.46E-03,,1010.60175,1.46E-02,,687.0,8.14E-03,,1087.00000,5.43E-04,,1004.02,0.00E+00,,1004.01,4.34E-03
,512.10384,8.44E-03,,217.7751653,0.00E+00,,217.7751653,0.00E+00,,510.71378,6.96E-04,,217.7751653,0.00E+00,,514.60907,2.72E-04,,512.10384,4.36E-02,,217.77517,0.00E+00,,805.62,2.07E-03,,820.95,4.71E-04,,610.040,3.73E-03,,1010.72687,1.45E-02,,688.0,2.19E-02,,1088.00000,6.55E-04,,1004.07,0.00E+00,,1004.06,4.30E-03
,512.25817,9.02E-03,,217.978261,0.00E+00,,217.978261,0.00E+00,,510.86934,2.61E-04,,217.978261,0.00E+00,,514.7621,3.47E-04,,512.25817,4.56E-02,,217.97826,0.00E+00,,805.69,2.48E-03,,821.19,1.68E-04,,610.154,4.14E-03,,1010.85199,1.43E-02,,689.0,1.09E-02,,1089.00000,4.56E-04,,1004.12,0.00E+00,,1004.11,4.23E-03
,512.41251,1.57E-02,,218.1813751,0.00E+00,,218.1813751,0.00E+00,,511.02491,1.74E-04,,218.1813751,0.00E+00,,514.91514,2.93E-04,,512.41251,4.39E-02,,218.18138,0.00E+00,,805.75,2.05E-03,,821.42,5.37E-04,,610.268,4.90E-03,,1010.97717,1.42E-02,,690.0,1.43E-02,,1090.00000,5.01E-04,,1004.17,0.00E+00,,1004.16,4.15E-03
,512.56685,1.11E-02,,218.3845077,0.00E+00,,218.3845077,0.00E+00,,511.18048,2.61E-04,,218.3845077,0.00E+00,,515.06818,3.71E-04,,512.56685,4.65E-02,,218.38451,0.00E+00,,805.82,1.38E-03,,821.66,1.65E-04,,610.382,4.09E-03,,1011.10236,1.40E-02,,691.0,1.74E-02,,1091.00000,3.62E-04,,1004.21,0.00E+00,,1004.21,4.06E-03
,512.72121,1.61E-02,,218.5876587,0.00E+00,,218.5876587,0.00E+00,,511.33607,0.00E+00,,218.5876587,0.00E+00,,515.22124,2.57E-04,,512.72121,4.47E-02,,218.58766,0.00E+00,,805.88,1.37E-03,,821.90,4.79E-04,,610.496,6.57E-03,,1011.22754,1.39E-02,,692.0,2.43E-02,,1092.00000,4.10E-04,,1004.26,0.00E+00,,1004.26,3.97E-03
,512.87557,1.39E-02,,218.7908282,0.00E+00,,218.7908282,0.00E+00,,511.49166,2.61E-04,,218.7908282,0.00E+00,,515.37431,3.70E-04,,512.87557,4.67E-02,,218.79083,0.00E+00,,805.95,9.86E-04,,822.14,2.21E-04,,610.610,8.08E-03,,1011.35284,1.37E-02,,693.0,2.04E-02,,1093.00000,4.77E-04,,1004.31,0.00E+00,,1004.31,3.90E-03
,513.02995,2.08E-02,,218.9940161,0.00E+00,,218.9940161,0.00E+00,,511.64726,0.00E+00,,218.9940161,0.00E+00,,515.52739,2.62E-04,,513.02995,4.37E-02,,218.99402,0.00E+00,,806.01,1.15E-03,,822.38,5.17E-04,,610.724,7.31E-03,,1011.47809,1.36E-02,,694.0,2.23E-02,,1094.00000,4.81E-04,,1004.36,0.00E+00,,1004.36,3.84E-03
,513.18433,6.67E-03,,219.1972224,0.00E+00,,219.1972224,0.00E+00,,511.80286,0.00E+00,,219.1972224,0.00E+00,,515.68048,3.67E-04,,513.18433,4.63E-02,,219.19722,0.00E+00,,806.08,1.84E-03,,822.62,1.99E-04,,610.839,3.56E-03,,1011.60339,1.34E-02,,695.0,9.79E-03,,1095.00000,5.17E-04,,1004.41,0.00E+00,,1004.41,3.80E-03
,513.33872,1.14E-02,,219.4004472,0.00E+00,,219.4004472,0.00E+00,,511.95847,0.00E+00,,219.4004472,0.00E+00,,515.83358,3.27E-04,,513.33872,4.36E-02,,219.40045,0.00E+00,,806.14,2.20E-03,,822.85,4.93E-04,,610.953,5.71E-03,,1011.72876,1.32E-02,,696.0,1.18E-02,,1096.00000,3.72E-04,,1004.46,0.00E+00,,1004.46,3.78E-03
,513.49312,1.12E-02,,219.6036904,0.00E+00,,219.6036904,0.00E+00,,512.1141,2.61E-04,,219.6036904,0.00E+00,,515.98669,2.57E-04,,513.49312,4.68E-02,,219.60369,0.00E+00,,806.21,2.13E-03,,823.09,3.10E-04,,611.067,4.44E-03,,1011.85413,1.31E-02,,697.0,1.41E-02,,1097.00000,4.26E-04,,1004.51,0.00E+00,,1004.50,3.79E-03
,513.64753,9.29E-03,,219.8069519,0.00E+00,,219.8069519,0.00E+00,,512.26972,1.22E-03,,219.8069519,0.00E+00,,516.13981,3.65E-04,,513.64753,4.33E-02,,219.80695,0.00E+00,,806.27,2.47E-03,,823.33,5.67E-04,,611.181,5.70E-03,,1011.97955,1.29E-02,,698.0,1.09E-02,,1098.00000,6.51E-04,,1004.56,0.00E+00,,1004.55,3.81E-03
,513.80195,1.15E-02,,220.010232,0.00E+00,,220.010232,0.00E+00,,512.42536,2.61E-04,,220.010232,0.00E+00,,516.29294,2.14E-04,,513.80195,4.58E-02,,220.01023,0.00E+00,,806.34,2.35E-03,,823.57,2.95E-04,,611.296,4.81E-03,,1012.10498,1.27E-02,,699.0,2.08E-02,,1099.00000,4.75E-04,,1004.61,0.00E+00,,1004.60,3.85E-03
,513.95638,1.14E-02,,220.2135304,0.00E+00,,220.2135304,0.00E+00,,512.581,1.74E-04,,220.2135304,0.00E+00,,516.44608,3.80E-04,,513.95638,4.34E-02,,220.21353,0.00E+00,,806.40,2.01E-03,,823.81,5.37E-04,,611.410,9.39E-03,,1012.23047,1.26E-02,,700.0,1.07E-02,,1100.00000,4.36E-04,,1004.66,0.00E+00,,1004.65,3.91E-03
,514.11081,1.12E-02,,220.4168472,0.00E+00,,220.4168472,0.00E+00,,512.73665,2.61E-04,,220.4168472,0.00E+00,,516.59923,2.62E-04,,514.11081,4.60E-02,,220.41685,0.00E+00,,806.47,1.64E-03,,824.05,2.87E-04,,611.525,6.46E-03,,1012.35596,1.24E-02,,701.0,1.84E-02,,1101.00000,4.62E-04,,1004.71,0.00E+00,,1004.70,3.98E-03
,514.26526,1.14E-02,,220.6201824,0.00E+00,,220.6201824,0.00E+00,,512.89231,1.74E-04,,220.6201824,0.00E+00,,516.75239,2.97E-04,,514.26526,4.40E-02,,220.62018,0.00E+00,,806.53,2.57E-03,,824.29,5.14E-04,,611.639,6.05E-03,,1012.48151,1.22E-02,,702.0,1.79E-02,,1102.00000,4.02E-04,,1004.76,0.00E+00,,1004.75,4.05E-03
,514.41971,5.26E-03,,220.823536,0.00E+00,,220.823536,0.00E+00,,513.04798,0.00E+00,,220.823536,0.00E+00,,516.90557,2.85E-04,,514.41971,4.59E-02,,220.82354,0.00E+00,,806.59,2.42E-03,,824.52,2.14E-04,,611.754,2.83E-03,,1012.60706,1.20E-02,,703.0,1.07E-02,,1103.00000,5.04E-04,,1004.81,0.00E+00,,1004.80,4.12E-03
,514.57418,1.15E-02,,221.026908,0.00E+00,,221.026908,0.00E+00,,513.20365,1.74E-04,,221.026908,0.00E+00,,517.05875,2.96E-04,,514.57418,4.40E-02,,221.02691,0.00E+00,,806.66,2.19E-03,,824.76,5.37E-04,,611.868,4.99E-03,,1012.73267,1.19E-02,,704.0,1.63E-02,,1104.00000,4.12E-04,,1004.86,0.00E+00,,1004.85,4.18E-03
,514.72865,8.81E-03,,221.2302984,0.00E+00,,221.2302984,0.00E+00,,513.35933,2.61E-04,,221.2302984,0.00E+00,,517.21194,3.12E-04,,514.72865,4.60E-02,,221.2303,0.00E+00,,806.72,1.90E-03,,825.00,3.05E-04,,611.983,6.27E-03,,1012.85828,1.18E-02,,705.0,6.64E-03,,1105.00000,5.16E-04,,1004.91,0.00E+00,,1004.90,4.22E-03
,514.88313,1.84E-02,,221.4337072,0.00E+00,,221.4337072,0.00E+00,,513.51502,1.74E-04,,221.4337072,0.00E+00,,517.36514,3.32E-04,,514.88313,4.36E-02,,221.43371,0.00E+00,,806.79,2.18E-03,,825.24,5.91E-04,,612.098,4.19E-03,,1012.98395,1.18E-02,,706.0,8.68E-03,,1106.00000,3.86E-04,,1004.96,0.00E+00,,1004.95,4.25E-03
,515.03762,6.78E-03,,221.6371344,0.00E+00,,221.6371344,0.00E+00,,513.67071,7.83E-04,,221.6371344,0.00E+00,,517.51836,2.41E-04,,515.03762,4.63E-02,,221.63713,0.00E+00,,806.85,2.25E-03,,825.48,3.35E-04,,612.213,7.07E-03,,1013.10962,1.19E-02,,707.0,1.89E-02,,1107.00000,5.11E-04,,1005.01,0.00E+00,,1005.00,4.27E-03
,515.19212,9.77E-03,,221.84058,0.00E+00,,221.84058,0.00E+00,,513.82641,1.74E-04,,221.84058,0.00E+00,,517.67158,3.93E-04,,515.19212,4.40E-02,,221.84058,0.00E+00,,806.92,1.86E-03,,825.72,5.90E-04,,612.327,5.15E-03,,1013.23535,1.22E-02,,708.0,9.68E-03,,1108.00000,5.79E-04,,1005.06,0.00E+00,,1005.05,4.27E-03
,515.34663,7.42E-03,,222.0440439,0.00E+00,,222.0440439,0.00E+00,,513.98212,7.83E-04,,222.0440439,0.00E+00,,517.82482,2.26E-04,,515.34663,4.59E-02,,222.04404,0.00E+00,,806.98,1.93E-03,,825.95,2.87E-04,,612.442,6.79E-03,,1013.36115,1.25E-02,,709.0,5.54E-03,,1109.00000,5.43E-04,,1005.10,0.00E+00,,1005.10,4.25E-03
,515.50115,1.03E-02,,222.2475262,0.00E+00,,222.2475262,0.00E+00,,514.13784,0.00E+00,,222.2475262,0.00E+00,,517.97806,3.72E-04,,515.50115,4.22E-02,,222.24753,0.00E+00,,807.05,2.04E-03,,826.19,6.17E-04,,612.557,4.89E-03,,1013.48688,1.29E-02,,710.0,1.41E-02,,1110.00000,5.17E-04,,1005.15,0.00E+00,,1005.15,4.24E-03
,515.65567,1.16E-02,,222.4510268,0.00E+00,,222.4510268,0.00E+00,,514.29357,2.61E-04,,222.4510268,0.00E+00,,518.13132,3.31E-04,,515.65567,4.45E-02,,222.45103,0.00E+00,,807.11,1.99E-03,,826.43,3.14E-04,,612.672,5.83E-03,,1013.61273,1.33E-02,,711.0,1.65E-02,,1111.00000,5.40E-04,,1005.20,0.00E+00,,1005.20,4.21E-03
,515.81021,1.54E-02,,222.6545458,0.00E+00,,222.6545458,0.00E+00,,514.4493,1.74E-04,,222.6545458,0.00E+00,,518.28459,2.25E-04,,515.81021,4.27E-02,,222.65455,0.00E+00,,807.18,2.26E-03,,826.67,6.40E-04,,612.787,5.04E-03,,1013.73859,1.37E-02,,712.0,1.85E-02,,1112.00000,5.07E-04,,1005.25,0.00E+00,,1005.25,4.18E-03
,515.96475,1.19E-02,,222.8580832,0.00E+00,,222.8580832,0.00E+00,,514.60504,7.83E-04,,222.8580832,0.00E+00,,518.43786,4.44E-04,,515.96475,4.56E-02,,222.85808,0.00E+00,,807.24,2.15E-03,,826.91,3.45E-04,,612.902,2.62E-03,,1013.86444,1.41E-02,,713.0,1.11E-02,,1113.00000,5.04E-04,,1005.30,0.00E+00,,1005.30,4.15E-03
,516.11931,1.50E-02,,223.0616389,0.00E+00,,223.0616389,0.00E+00,,514.76079,0.00E+00,,223.0616389,0.00E+00,,518.59115,1.36E-04,,516.11931,4.31E-02,,223.06164,0.00E+00,,807.31,2.00E-03,,827.15,6.07E-04,,613.017,3.07E-03,,1013.99036,1.43E-02,,714.0,1.32E-02,,1114.00000,5.47E-04,,1005.35,0.00E+00,,1005.35,4.12E-03
